nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;727599.47267;RIAU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;205081.99242;JAMBI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;454607.39609;"SUMATERA SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;73305.26704;BENGKULU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;353025.0881;LAMPUNG
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;75519.77407;"KEP. BANGKA BELITUNG"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;254095.34627;"KEP. RIAU"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;2767273.48858;"DKI JAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;2082107.25728;"JAWA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;1347222.48502;"JAWA TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;138117.83818;"DI YOGYAKARTA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;2299807.63568;"JAWA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;625895.38365;BANTEN
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;224225.72132;BALI
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;133613.74417;"NUSA TENGGARA BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;106482.44856;"NUSA TENGGARA TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;213950.35368;"KALIMANTAN BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;152187.39425;"KALIMANTAN TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;179162.02457;"KALIMANTAN SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;607744.48625;"KALIMANTAN TIMUR"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;100423.20956;"KALIMANTAN UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;132230.05687;"SULAWESI UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;197440.78272;"SULAWESI TENGAH"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;504052.52656;"SULAWESI SELATAN"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;130107.27008;"SULAWESI TENGGARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;41729.88761;GORONTALO
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;46465.91198;"SULAWESI BARAT"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;46263.466;MALUKU
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;42298.86901;"MALUKU UTARA"
"[Seri 2010] Produk Domestik Regional Bruto ";"Harga Berlaku";2020;Tahun;83588.64176;"PAPUA BARAT"
